Date,Open,High,Low,Close,Adj Close,Volume
2016-04-29,42000.000000,42450.000000,41150.000000,42000.000000,42000.000000,42560
2016-05-02,41750.000000,41750.000000,40300.000000,40600.000000,40600.000000,75812
2016-05-03,40600.000000,41100.000000,40400.000000,40700.000000,40700.000000,28685
2016-05-04,40400.000000,40700.000000,39800.000000,39800.000000,39800.000000,79547
2016-05-09,39950.000000,41250.000000,39850.000000,40950.000000,40950.000000,30484
2016-05-10,40300.000000,41000.000000,40050.000000,40650.000000,40650.000000,38325
2016-05-11,40450.000000,41100.000000,40450.000000,40700.000000,40700.000000,37232
2016-05-12,41000.000000,41550.000000,40200.000000,40850.000000,40850.000000,42563
2016-05-13,40950.000000,41250.000000,40550.000000,40900.000000,40900.000000,28391
2016-05-16,40800.000000,43100.000000,40750.000000,43050.000000,43050.000000,93409
2016-05-17,43000.000000,43500.000000,42450.000000,43000.000000,43000.000000,48558
2016-05-18,42750.000000,43400.000000,42450.000000,42850.000000,42850.000000,37309
2016-05-19,42550.000000,42700.000000,41300.000000,42100.000000,42100.000000,62886
2016-05-20,42000.000000,42900.000000,41750.000000,42200.000000,42200.000000,33608
2016-05-23,42300.000000,42700.000000,42000.000000,42400.000000,42400.000000,28127
2016-05-24,42850.000000,42900.000000,41000.000000,42650.000000,42650.000000,46120
2016-05-25,42650.000000,44250.000000,42600.000000,43350.000000,43350.000000,61233
2016-05-26,43350.000000,43800.000000,43000.000000,43000.000000,43000.000000,21270
2016-05-27,43200.000000,43950.000000,42950.000000,43250.000000,43250.000000,20254
2016-05-30,43300.000000,43800.000000,42700.000000,43200.000000,43200.000000,24299
2016-05-31,43350.000000,43450.000000,42450.000000,43450.000000,43450.000000,50737
2016-06-01,43250.000000,44100.000000,43250.000000,44050.000000,44050.000000,32118
2016-06-02,44200.000000,44200.000000,43300.000000,43600.000000,43600.000000,25314
2016-06-03,43600.000000,43850.000000,43100.000000,43800.000000,43800.000000,16468
2016-06-07,44000.000000,44050.000000,43000.000000,43100.000000,43100.000000,41430
